hora,temperatura,umidade,pto_orvalho,pressao,radiacao,vento
19,26.5,65.0,19.5,947.7,1218.0,3.3
20,23.2,89.0,21.3,948.7,37.8,2.3
21,23.0,89.0,21.1,949.3,7.358,1.4
22,NaN,89.0,20.7,950.9,0.127,1.0
23,22.1,91.0,20.6,950.6,-2.03,2.3
0,22.4,90.0,20.7,951.1,-3.28,1.4
1,22.3,88.0,20.2,951.7,1.795,1.3
2,21.7,90.0,20.0,951.7,-2.03,1.7
3,21.7,91.0,20.2,950.9,-1.26,0.1
4,21.2,95.0,20.4,951.3,-0.99,1.6
5,21.5,95.0,20.6,950.5,-2.2,0.6
6,21.4,92.0,20.1,949.6,-2.9,0.9
7,21.5,91.0,19.9,950.0,-0.5,1.1
8,21.5,91.0,19.8,950.4,-1.44,1.8
9,21.6,91.0,20.1,951.6,40.94,1.3
10,21.7,95.0,20.8,952.4,178.4,0.0
11,22.9,85.0,20.3,953.0,651.2,1.0
12,24.2,74.0,19.3,953.4,1690.0,1.8
13,23.9,75.0,19.2,953.7,796.8,0.5
14,22.6,91.0,21.0,953.8,595.7,0.9
15,22.1,96.0,21.4,953.3,317.2,0.4
16,24.3,89.0,22.3,952.0,1382.0,0.2
17,23.0,88.0,20.9,951.2,1316.0,1.7
18,21.7,95.0,20.9,950.8,355.3,0.2
19,22.3,94.0,21.3,949.6,465.3,0.2
20,22.4,92.0,21.0,949.7,336.5,0.0
21,22.3,94.0,21.3,950.0,119.7,0.1
22,NaN,95.0,21.3,950.9,-2.61,0.3
23,21.8,93.0,20.7,951.1,-3.25,0.9
0,22.0,95.0,21.1,951.7,-3.07,1.5
1,21.6,95.0,20.7,952.3,-2.29,0.0
2,21.7,96.0,21.0,952.4,-1.35,0.1
3,21.6,95.0,20.8,951.8,-2.14,0.0
4,21.6,96.0,20.9,951.3,-2.28,0.0
5,21.8,96.0,21.0,950.9,-1.33,0.0
6,21.8,96.0,21.1,950.9,-2.02,0.0
7,21.9,96.0,21.2,951.0,-1.44,0.0
8,NaN,96.0,21.1,951.1,-2.25,0.0
9,22.3,95.0,21.5,951.8,100.3,0.0
10,24.2,84.0,21.3,952.4,589.5,1.3
11,23.9,86.0,21.5,953.1,752.7,1.5
12,26.3,77.0,21.9,953.2,1446.0,1.5
13,25.1,78.0,21.0,952.8,2088.0,3.2
14,24.6,84.0,21.7,952.9,1394.0,1.8
15,24.9,83.0,21.9,952.8,854.6,2.5
16,24.8,81.0,21.3,951.6,747.7,0.9
17,25.5,78.0,21.4,950.5,1640.0,1.5
18,25.6,78.0,21.4,950.7,910.9,0.1
19,25.3,82.0,21.9,950.6,501.7,0.3
20,24.7,88.0,22.6,950.8,281.4,0.1
21,23.1,93.0,21.9,950.8,42.24,1.0
22,22.5,95.0,21.6,952.0,-2.3,0.0
23,22.5,96.0,21.8,953.0,-2.77,0.0
0,22.4,96.0,21.7,953.3,-2.98,0.7
1,22.1,96.0,21.4,953.5,-3.09,0.1
2,21.9,96.0,21.2,953.5,-2.89,0.5
3,NaN,96.0,21.1,953.0,-2.85,0.5
4,21.6,96.0,20.9,952.0,-2.94,0.8
5,21.6,96.0,21.0,951.9,-2.66,0.0
6,NaN,96.0,21.1,952.4,-1.01,0.0
7,21.9,96.0,21.2,952.4,-2.28,0.0
8,21.9,96.0,21.2,952.6,-2.28,0.0
9,22.2,96.0,21.5,953.6,19.83,0.0
10,22.4,96.0,21.8,953.9,132.5,0.0
11,NaN,87.0,22.0,954.4,941.2,0.1
12,24.9,86.0,22.4,955.2,704.0,0.1
13,27.5,80.0,23.7,955.1,2404.0,1.2
14,29.5,66.0,22.6,954.6,3239.0,0.7
15,29.0,59.0,20.3,953.9,3494.0,2.4
16,29.9,63.0,22.1,953.0,2845.0,1.6
17,29.4,60.0,20.8,952.0,2843.0,2.1
18,31.7,51.0,20.2,951.1,2310.0,1.5
19,29.3,60.0,20.8,950.7,1334.0,1.0
20,23.0,85.0,20.3,951.3,357.0,3.4
21,23.6,89.0,21.6,951.3,190.2,1.6
22,23.1,93.0,21.9,952.4,-1.23,0.4
23,22.8,94.0,21.8,952.8,-3.15,0.2
0,22.0,93.0,20.8,953.6,-1.82,1.8
1,22.3,94.0,21.3,954.0,-2.88,1.1
2,22.2,95.0,21.3,954.5,-2.23,0.7
3,22.2,94.0,21.1,953.7,-1.47,1.5
4,22.0,95.0,21.1,953.3,-1.26,0.4
5,21.6,95.0,20.8,953.4,-1.74,1.6
6,21.5,94.0,20.5,953.5,-2.55,0.0
7,21.8,95.0,21.0,953.4,-2.74,0.9
8,21.6,93.0,20.3,953.5,-2.2,0.7
9,21.8,95.0,21.0,954.1,62.96,0.3
10,23.6,82.0,20.4,954.5,408.2,0.7
11,26.6,66.0,19.7,955.1,1478.0,0.8
12,28.8,52.0,18.0,955.1,2646.0,2.0
